id,url,did_i_read_it,priority
4637e80c-8a2b-4914-a351-48d3ea4d4f1c,https://www.notion.so/Understanding-Callbacks-DEV-Community-4637e80c8a2b4914a35148d3ea4d4f1c,true,50
70a0006b-ccf2-4a1a-aa2f-e59de5bba33d,https://www.notion.so/Debugging-The-Odin-Project-70a0006bccf24a1aaa2fe59de5bba33d,true,50
3aa2f000-5e2b-413a-9981-98dab9f7d63c,https://www.notion.so/some-every-find-and-SPREADS-Array-Cardio-Day-2-JavaScript30-7-30-YouTube-3aa2f0005e2b413a998198dab9f7d63c,true,49
0b1c18c3-4e01-41d6-a73b-e4c87c709bdf,https://www.notion.so/JavaScript-Array-Cardio-Practice-Day-1-JavaScript30-4-30-YouTube-0b1c18c34e0141d6a73be4c87c709bdf,true,50
c71e0507-214f-4825-a19b-3039caf67a32,https://www.notion.so/Handling-Events-Eloquent-JavaScript-c71e0507214f4825a19b3039caf67a32,true,50
b0006501-84d5-4505-afdb-892b9d1d3c27,https://www.notion.so/The-Document-Object-Model-Eloquent-JavaScript-b000650184d54505afdb892b9d1d3c27,true,50
cc8aab8d-8fa9-4597-94c1-af1917e69021,https://www.notion.so/HTML-DOM-Event-Object-cc8aab8d8fa9459794c1af1917e69021,true,50
45fd56f7-6395-487a-95ce-e5a78a16dfa2,https://www.notion.so/DOM-Enlightenment-Exploring-the-relationship-between-JavaScript-and-the-modern-HTML-DOM-45fd56f76395487a95cee5a78a16dfa2,true,50
1d67d87b-70c9-4115-87d0-7fd4f10666b0,https://www.notion.so/Looping-code-Learn-web-development-MDN-1d67d87b70c9411587d07fd4f10666b0,true,50
0c09b7b6-bfbe-41e4-9551-dd51a5a66103,https://www.notion.so/JavaScript-Array-Methods-0c09b7b6bfbe41e49551dd51a5a66103,true,50
803a9ddb-b906-48bd-9917-e850fa742563,https://www.notion.so/Installing-Node-js-The-Odin-Project-803a9ddbb90648bd9917e850fa742563,true,50
7b4fb713-4825-4bca-bf30-220f397dad5f,https://www.notion.so/How-to-think-like-a-programmer-lessons-in-problem-solving-7b4fb71348254bcabf30220f397dad5f,true,50
beef2021-fde9-4c81-8f6c-6452a063b51e,https://www.notion.so/Logical-operators-beef2021fde94c818f6c6452a063b51e,true,50
